,Code - NOC 2021 V1.0,Class title
259,13,"Senior managers - health, education, social and community services and membership organizations"
547,10010,Financial managers
1275,11100,Financial auditors and accountants
1618,11200,Human resources professionals
1829,11202,"Professional occupations in advertising, marketing and public relations"
2148,12013,"Supervisors, supply chain, tracking and scheduling coordination occupations"
2688,12200,Accounting technicians and bookkeepers
2891,13100,Administrative officers
3099,13110,Administrative assistants
3149,13111,Legal administrative assistants
3338,14100,General office support workers
3447,14101,Receptionists
3830,14200,Accounting and related clerks
4213,14400,Shippers and receivers
4274,14401,Storekeepers and partspersons
4461,14404,Dispatchers
5457,21112,"Agricultural representatives, consultants and specialists"
9313,30010,Managers in health care
9424,31100,Specialists in clinical and laboratory medicine
9945,31112,Audiologists and speech-language pathologists
10005,31120,Pharmacists
10126,31200,Psychologists
10229,31203,Occupational therapists
10369,31300,Nursing coordinators and supervisors
10419,31301,Registered nurses and registered psychiatric nurses
10619,31303,"Physician assistants, midwives and allied health professionals"
10738,32101,Licensed practical nurses
10777,32102,Paramedical occupations
10846,32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
10981,32109,Other technical occupations in therapy and assessment
11221,32120,Medical laboratory technologists
11280,32121,Medical radiation technologists
11403,32122,Medical sonographers
11542,32124,Pharmacy technicians
11903,33102,"Nurse aides, orderlies and patient service associates"
12003,33103,Pharmacy technical assistants and pharmacy assistants
12027,33109,Other assisting occupations in support of health services
13398,41210,College and other vocational instructors
13613,41220,Secondary school teachers
13747,41221,Elementary school and kindergarten teachers
13820,41300,Social workers
13876,41301,Therapists in counselling and related specialized therapies
14479,41402,Business development officers and market researchers and analysts
14907,41406,"Recreation, sports and fitness policy researchers, consultants and program officers"
15494,42201,Social and community service workers
15652,42202,Early childhood educators and assistants
15854,43100,Elementary and secondary school teacher assistants
16204,44100,Home child care providers
16260,44101,"Home support workers, caregivers and related occupations"
19315,60010,Corporate sales managers
19361,60020,Retail and wholesale trade managers
19523,60030,Restaurant and food service managers
19725,62010,Retail sales supervisors
19791,62020,Food service supervisors
19949,62024,Cleaning supervisors
20059,62100,Technical sales specialists - wholesale trade
20261,62200,Chefs
20594,63200,Cooks
20697,63202,Bakers
20756,63210,Hairstylists and barbers
20967,64100,Retail salespersons and visual merchandisers
21507,64301,Bartenders
21754,64314,Hotel front desk clerks
21883,64322,Outdoor sport and recreational guides
22015,64409,Other customer and information services representatives
22120,64410,Security guards and related security service occupations
22231,65100,Cashiers
22285,65101,Service station attendants
22324,65102,"Store shelf stockers, clerks and order fillers"
22439,65200,Food and beverage servers
22505,65201,"Food counter attendants, kitchen helpers and related support occupations"
22945,65310,Light duty cleaners
23022,65311,Specialized cleaners
23107,65312,"Janitors, caretakers and heavy-duty cleaners"
23147,65320,"Dry cleaning, laundry and related occupations"
23383,70010,Construction managers
23473,70012,Facility operation and maintenance managers
24455,72021,"Contractors and supervisors, heavy equipment operator crews"
25274,72106,Welders and related machine operators
25438,72200,Electricians (except industrial and power system)
25909,72300,Plumbers
26071,72310,Carpenters
26326,72400,Construction millwrights and industrial mechanics
26572,72401,Heavy-duty equipment mechanics
26988,72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
27134,72411,"Auto body collision, refinishing and glass technicians and damage repair estimators"
28524,73112,Painters and decorators (except interior decorators)
28628,73200,Residential and commercial installers and servicers
28791,73201,General building maintenance workers and building superintendents
28992,73300,Transport truck drivers
29099,73301,"Bus drivers, subway operators and other transit operators"
29257,73400,Heavy equipment operators
29973,74204,Utility maintenance workers
30158,75101,Material handlers
30320,75110,Construction trades helpers and labourers
30789,75201,Delivery service drivers and door-to-door distributors
31018,75212,Public works and maintenance labourers
32645,85101,Harvesting labourers
32914,85111,"Oil and gas drilling, servicing and related labourers"
33025,85121,Landscaping and grounds maintenance labourers
